"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/1302","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/4843","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/6839","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/10572","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/9866","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/9799","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/9841","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/10084","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/89","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/10115","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/424","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/10551","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/7299","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/6168","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/1307","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/8606","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/2513","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/9723","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/10194","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/10235","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/6217","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/7573","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/10633","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/10108","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
